OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
THOR ABLESTAR DEB,129,66.53600311279297,0.002482800045982003,148.02049255371094,248.77879333496094,111.13459777832031,16.27573342,0.002939000027254224,1961-06-29,1981-08-31,20,3
THOR ABLESTAR DEB,135,66.67890167236328,0.0019795000553131104,334.056396484375,237.04139709472656,120.11920166015625,16.12436535,0.01618799939751625,1961-06-29,2002-04-17,41,3
THOR ABLESTAR DEB,137,66.54519653320312,0.0028723999857902527,11.080300331115723,46.362098693847656,313.99261474609375,15.60881807,0.04185099899768829,1961-06-29,1980-12-15,19,3
THOR ABLESTAR DEB,139,67.11910247802734,0.003997799940407276,308.3512878417969,247.0843048095703,112.60559844970703,15.65238762,0.0,1961-06-29,1978-07-08,17,2
THOR ABLESTAR DEB,140,66.59310150146484,0.006029500160366297,170.54660034179688,288.9743957519531,70.37300109863281,16.01434628,0.0,1961-06-29,1962-09-30,1,1
THOR ABLESTAR DEB,142,67.05650329589844,0.0010997999925166368,28.614200592041016,10.20110034942627,349.9276123046875,15.83418175,0.0,1961-06-29,1967-12-25,6,2
THOR ABLESTAR DEB,143,66.24019622802734,0.004136799834668636,112.59750366210938,55.82529830932617,356.3771057128906,16.02917191,0.0,1961-06-29,1962-06-16,1,1
THOR ABLESTAR DEB,146,66.94660186767578,0.007476000115275383,48.354000091552734,301.4809875488281,57.91170120239258,16.49108106,0.0,1961-06-29,1969-07-07,8,2
THOR ABLESTAR DEB,149,67.07859802246094,0.001253599999472499,137.31509399414062,137.927001953125,222.27879333496094,15.05239877,0.0,1961-06-29,1979-03-03,18,3
THOR ABLESTAR DEB,151,66.83809661865234,0.004433399997651577,85.92729949951172,231.57850646972656,128.12890625,15.71211853,0.0,1961-06-29,1967-12-02,6,2
THOR ABLESTAR DEB,153,67.08660125732422,0.0019849000964313745,35.8296012878418,221.7532958984375,138.3946075439453,15.63487075,0.047770000994205475,1961-06-29,1981-04-20,20,3
THOR ABLESTAR DEB,156,66.95860290527344,0.002080699894577265,167.20620727539062,204.3323974609375,155.82000732421875,16.02457719,0.02924799919128418,1961-06-29,1998-09-25,37,3
THOR ABLESTAR DEB,157,66.70570373535156,0.001680399989709258,153.51820373535156,216.0305938720703,143.98489379882812,15.84119847,0.0058916001580655575,1961-06-29,1981-01-08,20,3
THOR ABLESTAR DEB,161,66.6624984741211,0.003292999928817153,72.76930236816406,14.429200172424316,337.6868896484375,16.34977988,0.012928999960422516,1961-06-29,1981-08-29,20,3
DELTA 1 R/B,165,47.820899963378906,0.0008818000205792487,176.0637969970703,302.4462890625,186.32749938964844,16.40853519,0.003260500030592084,1961-07-12,2014-02-19,53,3
DELTA 1 DEB [YO],166,47.92890167236328,0.0006172999856062233,70.86160278320312,14.90880012512207,345.6347961425781,16.10528449,0.002813100116327405,1961-07-12,1992-03-02,31,3
THOR ABLESTAR DEB,171,67.13200378417969,0.0,191.97439575195312,105.51740264892578,254.4824981689453,16.22018576,0.0,1961-06-29,1962-01-29,1,1
THOR ABLESTAR DEB,175,66.52159881591797,0.0019996999762952328,212.3883056640625,331.8581848144531,28.155399322509766,16.01824479,0.026124000549316406,1961-06-29,1999-03-12,38,3
THOR ABLESTAR DEB,176,66.73370361328125,0.0026857000775635242,133.1652069091797,2.283099889755249,357.8503112792969,15.78626601,0.04082600027322769,1961-06-29,1982-02-12,21,3
THOR ABLESTAR DEB,179,66.84549713134766,0.001686000032350421,229.50059509277344,326.1817932128906,33.822601318359375,15.9206127,0.03964100033044815,1961-06-29,2000-03-03,39,3
THOR ABLESTAR DEB,211,66.50550079345703,0.0012920999433845282,94.22730255126953,260.4848937988281,99.47470092773438,16.24698619,0.004435800015926361,1961-06-29,2002-10-17,41,3
THOR ABLESTAR DEB,212,68.1769027709961,0.0021307000424712896,199.2091064453125,193.80419921875,166.46910095214844,16.08547387,0.009929699823260307,1961-06-29,1988-08-11,27,3
THOR ABLESTAR DEB,216,66.82230377197266,0.0009462999878451228,92.7332992553711,21.14579963684082,340.6319885253906,16.34407703,0.004029199946671724,1961-06-29,1989-11-13,28,3
SAMOS 5 DEB [REFLECTOR],219,89.68000030517578,0.005309899803251028,79.427001953125,326.2439880371094,33.922401428222656,16.3708436,0.0,1961-12-22,1962-01-09,1,1
THOR ABLESTAR DEB,220,66.96800231933594,0.0,210.4257049560547,0.0,359.9999084472656,16.14345436,0.0,1961-06-29,1966-02-21,5,2
DELTA 1 R/B,229,48.217899322509766,0.0002707999956328422,193.98829650878906,246.8986053466797,113.31490325927734,16.41449899,0.0016051999991759658,1962-02-08,2002-08-10,40,3
THOR ABLESTAR DEB,231,66.8427963256836,0.0014242000179365277,157.502197265625,321.51611328125,38.38290023803711,16.1932823,0.0,1961-06-29,1965-02-13,4,2
THOR ABLESTAR DEB,236,67.29440307617188,0.008322600275278091,42.56100082397461,267.6390075683594,91.51270294189453,15.41274745,0.0,1961-06-29,1969-05-13,8,2
THOR ABLESTAR DEB,237,67.19200134277344,0.0030569001100957394,17.266700744628906,259.3503112792969,100.42510223388672,16.02302946,0.0,1961-06-29,1969-04-12,8,2
THOR ABLESTAR DEB,238,67.05850219726562,0.0027489999774843454,81.66280364990234,245.0697021484375,114.76210021972656,15.61705287,0.0,1961-06-29,1969-12-07,8,2
THOR ABLESTAR DEB,239,66.9885025024414,0.002027499955147505,122.24040222167969,291.18109130859375,68.70899963378906,15.8663341,0.0,1961-06-29,1967-06-17,6,2
THOR ABLESTAR DEB,250,66.91819763183594,0.0017464000266045332,27.26889991760254,288.19171142578125,73.3915023803711,15.90566104,0.017020000144839287,1961-06-29,1981-09-13,20,3
DELTA 1 R/B,257,32.8130989074707,9.999999974752427e-07,138.92820739746094,221.07159423828125,138.99569702148438,16.13662815,0.0,1962-03-07,1970-05-03,8,2
THOR ABLESTAR DEB,265,66.55960083007812,0.0003218000056222081,308.60980224609375,300.6274108886719,73.63960266113281,15.77790913,0.0,1961-06-29,1978-10-12,17,2
THOR ABLESTAR DEB,275,66.70159912109375,0.000951700028963387,150.21890258789062,302.7428894042969,57.303001403808594,16.22003561,0.013682999648153782,1961-06-29,2001-12-01,40,3
DELTA 1 R/B,288,53.78300094604492,0.0005680000176653266,64.79620361328125,45.29309844970703,314.8537902832031,16.279158,0.0,1962-04-26,1971-04-28,9,2
THOR ABLESTAR DEB,300,66.79630279541016,0.0016550000291317701,155.40130615234375,115.16649627685547,252.7073974609375,15.26619162,0.022921999916434288,1961-06-29,1979-12-13,18,3
THOR ABLESTAR DEB,301,66.78340148925781,0.002502199960872531,157.5316925048828,349.8655090332031,10.22700023651123,15.7051521,0.04765300080180168,1961-06-29,1981-04-08,20,3
DELTA 1 R/B,311,58.01810073852539,0.0006938999867998064,178.46690368652344,279.68231201171875,80.47209930419922,16.41107538,0.002495700027793646,1962-06-19,1990-11-28,28,3
DELTA 1 DEB [YO],313,57.93519973754883,0.0007598000229336321,104.71759796142578,16.72909927368164,343.88519287109375,16.32756775,0.0009734299965202808,1962-06-19,1992-01-19,30,3
THOR ABLESTAR DEB,317,66.37930297851562,0.0017065999563783407,235.3115997314453,225.00570678710938,135.73880004882812,15.55656729,0.01593800075352192,1961-06-29,1981-01-11,20,3
THOR ABLESTAR DEB,319,66.760498046875,0.0010609000455588102,209.91529846191406,226.87530517578125,134.74859619140625,16.26915889,0.005488099996000528,1961-06-29,1981-07-23,20,3
THOR ABLESTAR DEB,321,67.09989929199219,0.0,143.99749755859375,216.0023956298828,144.10650634765625,16.33669075,0.0,1961-06-29,1969-02-26,8,2
THOR ABLESTAR DEB,322,66.95069885253906,0.002518200082704425,41.25299835205078,329.9501953125,30.012300491333008,15.97504007,0.0,1961-06-29,1969-06-06,8,2
THOR ABLESTAR DEB,326,66.92649841308594,0.003408400109037757,12.988300323486328,291.09259033203125,68.65460205078125,15.80673122,7.459000335074961e-05,1961-06-29,1979-10-07,18,3
THOR ABLESTAR DEB,328,66.60540008544922,0.008834900334477425,65.37580108642578,82.39540100097656,278.7181091308594,15.53346531,0.0,1961-06-29,1970-05-03,9,2
THOR ABLESTAR DEB,331,66.9197006225586,0.0022871000692248344,174.19400024414062,337.0841064453125,24.064800262451172,15.82103818,0.06335499882698059,1961-06-29,1989-03-24,28,3
THOR ABLESTAR DEB,332,67.05909729003906,0.002244899980723858,54.79330062866211,254.98410034179688,104.88050079345703,15.90604259,0.0,1961-06-29,1970-09-20,9,2
THOR ABLESTAR DEB,352,66.48030090332031,0.002288100076839328,98.9115982055664,280.04119873046875,79.67469787597656,16.08645569,0.0,1961-06-29,1966-12-10,5,2
THOR ABLESTAR DEB,353,66.44750213623047,0.002160599920898676,27.583099365234375,258.9837951660156,100.89250183105469,16.2590884,0.004173099994659424,1961-06-29,2023-07-01,62,3
THOR ABLESTAR DEB,356,66.9552993774414,0.001025600009597838,305.389404296875,172.93020629882812,187.2803955078125,15.99069767,0.052636001259088516,1961-06-29,1981-02-02,20,3
